C_1_Force[kN];C_1_Deplacement[mm]
0.807344079;0.002229595
0.925417423;0.00611918
1.05130744;0.010350527
1.16140461;0.014386582
1.268337965;0.01858538
1.365673304;0.022751631
1.457079768;0.026934156
1.551464081;0.031165503
1.635878086;0.035413124
1.722844481;0.03974212
1.787185311;0.043843273
1.846022606;0.048058346
1.887205958;0.052273419
1.928575516;0.056260649
1.959948301;0.060296703
1.991108418;0.064462952
2.018652678;0.068401359
2.041570663;0.072323494
2.076027632;0.076668762
2.097483397;0.080623448
2.125001192;0.084871069
2.155868769;0.089167513
2.184476376;0.093496509
2.212924719;0.097679034
2.242781878;0.101910383
2.27144289;0.106337018
2.292393446;0.110438175
2.322463512;0.114604421
2.348386049;0.118803225
2.37149024;0.12309967
2.393371344;0.126972973
2.414720774;0.131220594
2.434022903;0.13519156
2.456170082;0.139325261
2.480257988;0.143540338
2.502564669;0.147608936
2.527396917;0.151905388
2.551777363;0.156136721
2.572701454;0.160302982
2.599979639;0.164566875
2.625822306;0.168814495
2.650947094;0.173143491
2.672881603;0.177277192
2.700133324;0.181541085
2.728076458;0.185788706
2.748654842;0.189841047
2.772051573;0.193942189
2.795607567;0.198124722
2.811639786;0.202063128
2.827007055;0.205952704
2.85553503;0.210216612
2.871567011;0.214203835
2.896372795;0.218467727
2.916844845;0.222617716
2.941358089;0.22689788
2.965445995;0.231145501
2.989932775;0.235360578
3.016812325;0.239673302
3.038028955;0.243790716
3.066636562;0.248005792
3.087268114;0.252237141
3.108830214;0.25627321
3.127494574;0.260195345
3.148897171;0.264475495
3.163626432;0.268348813
3.183805943;0.272433698
3.208851099;0.276746422
3.228977442;0.280831277
3.250459909;0.285062641
3.273670435;0.289261431
3.294248819;0.29346022
3.321713209;0.2977404
3.34627986;0.301939189
3.370261431;0.306268185
3.393285751;0.310336798
3.417958498;0.314535588
3.437420368;0.318750679
3.461960316;0.322802991
3.480012894;0.326790243
3.503968;0.331021577
3.519468069;0.334959984
3.535260916;0.338914663
3.563948393;0.343357593
3.576843023;0.347328544
3.608933687;0.351673812
3.629804611;0.355856329
3.653972387;0.360201597
3.677368879;0.364416689
3.701961994;0.368664294
3.729240417;0.37299329
3.75045681;0.377143264
3.77712369;0.381342083
3.799616575;0.385589689
3.819822788;0.389658302
3.841092348;0.393629253
3.860474348;0.397779226
3.87703824;0.401668817
3.895835161;0.40573743
3.922555208;0.41001758
3.938348055;0.414118737
3.96365881;0.418301255
3.986098528;0.422516346
4.00941515;0.42674768
4.036932945;0.431027859
4.056554317;0.435226649
4.087634563;0.439620733
4.109462738;0.443770736
4.135810375;0.447985798
4.158755302;0.45220086
4.179227352;0.456318289
4.201108456;0.460321814
4.223361969;0.464520603
4.24019146;0.468475282
4.254867554;0.472446233
4.281055927;0.476710141
4.297274113;0.48074618
4.320245266;0.485010087
4.34481144;0.489176333
4.368181705;0.493472785
4.392269611;0.497736692
4.418324947;0.501984298
4.44544363;0.50628072
4.465783119;0.510381877
4.492316723;0.514629543
4.516032696;0.518860877
4.533260822;0.522896945
4.549665451;0.526770234
4.571785927;0.531001568
4.588004112;0.53490746
4.60874176;0.538976073
4.634159088;0.543272495
4.65181303;0.547389925
4.676591873;0.551621258
4.699324131;0.555771232
4.724608421;0.56003511
4.749334335;0.564299047
4.77509737;0.568530381
4.803359509;0.572859347
4.826224327;0.576976776
4.849647522;0.581159353
4.872698784;0.585406959
4.891947746;0.589394152
4.913855553;0.593462765
4.936347961;0.597612739
4.951821804;0.601551175
4.970220089;0.605587244
4.993563652;0.609802306
5.012201309;0.613870919
5.041872501;0.618151069
5.064045906;0.622398674
5.089542866;0.626662612
5.114960194;0.63092649
5.139473438;0.635109007
5.164252758;0.639405429
5.188925743;0.643474042
5.215193748;0.64765656
5.240079403;0.651839077
5.256190777;0.655907691
5.272808075;0.659878671
5.300219059;0.664191365
5.311066628;0.667999625
5.332203388;0.672100723
5.362645626;0.676608741
5.38184166;0.680661082
5.405583858;0.684957564
5.431054115;0.689156353
5.454743385;0.693436503
5.481543064;0.697684109
5.50834322;0.701931775
5.53828001;0.706309557
5.559656143;0.71045953
5.583504677;0.714642048
5.608922005;0.718889713
5.630936146;0.722958267
5.650690556;0.726961792
5.674087048;0.731144309
5.689693451;0.73511529
5.711096287;0.739102542
5.734811783;0.743350148
5.755762577;0.747337341
5.782217026;0.751633823
5.806224823;0.75581634
5.827707291;0.76009649
5.856580734;0.764360428
5.886358261;0.76857549
5.91515255;0.772888184
5.935544491;0.776973069
5.963434696;0.781155586
5.988745213;0.78538692
6.00645256;0.789406717
6.027004242;0.793231189
6.053405285;0.797495127
6.068560123;0.801417232
6.089457512;0.805534661
6.114821434;0.809782267
6.140717506;0.813948572
6.165576458;0.818228722
6.189929962;0.822394967
6.215958595;0.826626301
6.245071888;0.830890238
6.274078369;0.835137844
6.303324223;0.839483082
6.32464695;0.843567967
6.348362446;0.847652853
6.378060341;0.851884186
6.392816067;0.855822623
6.416718006;0.859712183
6.439662457;0.863862157
6.458007813;0.867947042
6.478532791;0.871966839
6.510676861;0.876312077
6.532052994;0.880445778
6.558294296;0.88474226
6.583339214;0.888924778
