C_1_Force[kN];C_1_Deplacement[mm]
4.454829216;0.964519441
4.466208458;0.968653142
4.477720737;0.972624063
4.487504482;0.97664386
4.502632618;0.98092401
4.503005028;0.984862447
4.511406422;0.988800824
4.526348591;0.993048489
4.535121918;0.997165918
4.548017025;1.001397252
4.562560081;1.005596042
4.577209473;1.009925008
4.587365627;1.014042497
4.606163025;1.018338919
4.619961739;1.022602797
4.635594845;1.02683413
4.653514385;1.031146884
4.667366505;1.035329342
4.679756165;1.039463043
4.689912319;1.043434024
4.704003334;1.047665358
4.705199718;1.051538706
4.717695713;1.055656195
4.727851868;1.059757352
4.738407135;1.063907266
4.750025749;1.068089843
4.764568806;1.072304845
4.776931763;1.076568723
4.796393394;1.080718756
4.818354607;1.085064054
4.830504894;1.089360476
4.846616745;1.093477845
4.865546703;1.097692966
4.878574371;1.101891756
4.888358593;1.105862737
4.897796631;1.10984993
4.912020683;1.114113808
4.916594028;1.11810112
4.926776886;1.122185946
4.938927174;1.126287103
4.952273846;1.130437016
4.966524601;1.134668469
4.978462219;1.138883471
4.995105743;1.143212438
5.011057854;1.147313595
5.029137135;1.151610136
5.045382023;1.155874014
5.060350418;1.160056472
5.076568604;1.164336681
5.08696413;1.168502927
5.102065563;1.172538996
5.109961987;1.176477432
5.122962952;1.180643678
5.126073837;1.184500694
5.139420509;1.18866694
5.151756763;1.192849398
5.163721085;1.197031975
5.181427956;1.201263309
5.194109917;1.205445886
5.20899868;1.209709764
5.225615978;1.213908553
5.243854523;1.218221307
5.262757778;1.222501397
5.274536133;1.22665143
5.292136669;1.230898976
5.304153919;1.235016465
5.313220501;1.238971114
5.322259903;1.242942095
5.342731953;1.247531533
5.344433784;1.251356006
5.355892658;1.255522251
5.371286392;1.259688497
5.378146172;1.26383841
5.393539906;1.2680372
5.408482075;1.272268653
5.423317432;1.276613832
5.434191704;1.280747533
5.454105377;1.285043955
5.467797756;1.289324164
5.486302376;1.293522954
5.506242752;1.297819376
5.516319275;1.301985621
5.533042431;1.306054235
5.542241573;1.310025215
5.55388689;1.314256549
5.558778763;1.318048477
5.57151413;1.32219851
5.58084631;1.32631588
5.591667175;1.330465913
5.604428768;1.334680915
5.61995554;1.338879824
